phase,mode,variant,date,variant_minus_reference_yuan,emergency_cost_difference,plan_cost_difference,adjustment_difference
formal,q4_2,count40_span40,2025-07-14,6082.36373513742,1089.9744298000062,4992.389305337412,0.0
formal,q4_2,count40_span40,2025-07-09,5899.147944465411,421.6540691562484,5477.493875309156,0.0
formal,q4_2,raw_history,2025-02-01,30996.78209096423,-46.64740279375092,31043.42949375798,0.0
formal,q4_2,raw_history,2025-02-08,30474.09803797576,-206.8225163180554,30680.920554293818,0.0
formal,q4_2,raw_history,2025-02-15,29594.0886428845,-816.1806455166659,30410.269288401167,0.0
formal,q4_2,raw_history,2025-02-07,29498.95617318367,-117.98442310347252,29616.940596287142,0.0
formal,q4_2,raw_history,2025-02-14,29020.121401200555,-654.8434379743039,29674.96483917486,0.0
formal,q4_2,reference,2025-02-01,0.0,0.0,0.0,0.0
formal,q4_2,reference,2025-09-15,0.0,0.0,0.0,0.0
formal,q4_2,reference,2025-09-14,0.0,0.0,0.0,0.0
formal,q4_2,reference,2025-09-13,0.0,0.0,0.0,0.0
formal,q4_2,reference,2025-09-12,0.0,0.0,0.0,0.0
formal,q4_2,shuffle_20260913,2025-06-05,5371.83635348457,6960.378811063587,-1588.5424575790094,0.0
formal,q4_2,shuffle_20260913,2025-06-11,4183.451273414321,5968.118978270821,-1784.6677048565034,0.0
formal,q4_2,shuffle_20260913,2025-06-10,3375.1491594217805,5565.028935677082,-2189.8797762553004,0.0
formal,q4_2,shuffle_20260913,2025-06-04,3365.172719327893,4122.806177545823,-757.6334582179261,0.0
formal,q4_2,shuffle_20260913,2025-06-09,2869.912884697864,4929.319687791652,-2059.406803093785,0.0
formal,q4_2,shuffle_20260914,2025-06-06,3623.680949907088,4138.143084108338,-514.4621342012506,0.0
formal,q4_2,shuffle_20260914,2025-06-05,3404.367348841435,4477.032826162489,-1072.665477321054,0.0
formal,q4_2,shuffle_20260914,2025-06-11,3403.5234538708028,4922.833213614569,-1519.309759743759,0.0
formal,q4_2,shuffle_20260914,2025-06-04,3172.033450929317,3974.493357508338,-802.4599065790171,0.0
formal,q4_2,shuffle_20260914,2025-06-10,2326.486102073264,4317.25226376458,-1990.7661616913174,0.0
formal,q4_2,shuffle_20260915,2025-06-06,4726.199565257084,5409.66002191458,-683.4604566574963,0.0
formal,q4_2,shuffle_20260915,2025-06-11,4174.409381037534,5930.126399287496,-1755.7170182499685,0.0
formal,q4_2,shuffle_20260915,2025-06-05,3919.116015333362,5318.97625662843,-1399.860241295064,0.0
formal,q4_2,shuffle_20260915,2025-06-10,3240.402447579654,5501.859982454172,-2261.457534874513,0.0
formal,q4_2,shuffle_20260915,2025-07-10,2043.6852395299502,190.68944860625425,1852.9957909236982,0.0
formal,q4_2,shuffle_20260916,2025-06-11,5357.932254757849,7540.216210064576,-2182.2839553067242,0.0
formal,q4_2,shuffle_20260916,2025-06-05,5302.761340998346,6841.589100439589,-1538.8277594412357,0.0
formal,q4_2,shuffle_20260916,2025-06-06,4767.378327945422,5443.063544725006,-675.6852167795823,0.0
