phase,mode,variant,month,total_cost_yuan,emergency_cost_yuan,emergency_share
formal,q4_2,count10_span20,2025-06,1675839.7228317095,243035.92133021395,0.1450233682965516
formal,q4_2,count10_span20,2025-07,1882350.1979058317,128317.12841931035,0.06816857381908362
formal,q4_2,count10_span20,2025-08,1560790.2091358523,99902.86427157045,0.06400787478471096
formal,q4_2,count10_span20,2025-09,1272601.7254301657,108940.72793487577,0.08560473065369416
formal,q4_2,count10_span20,2025-10,1226932.6153548758,115346.68612995617,0.09401224214468656
formal,q4_2,count10_span20,2025-11,1398293.2923302967,67418.8921869229,0.04821512951304181
formal,q4_2,count10_span20,2025-12,2053266.1589140568,111788.35832333534,0.05444416343103741
formal,q4_2,count40_span40,2025-02,1397507.6300688891,10313.509900037498,0.007379931012991393
formal,q4_2,count40_span40,2025-03,1213816.119067678,114491.48843337617,0.09432358545486785
formal,q4_2,count40_span40,2025-04,1002553.3399311104,94497.94669748748,0.09425727583130972
formal,q4_2,count40_span40,2025-05,1083401.4820279283,177162.29564361263,0.16352414001870977
formal,q4_2,count40_span40,2025-06,1673726.8068071017,319299.0548589506,0.19077130960701047
formal,q4_2,count40_span40,2025-07,1922013.5271113405,94182.96463235625,0.04900223817566312
formal,q4_2,count40_span40,2025-08,1584846.6639359933,55821.207185308296,0.03522183467684842
formal,q4_2,count40_span40,2025-09,1251749.6923863087,78304.02974248752,0.06255566126260467
formal,q4_2,count40_span40,2025-10,1214302.097787629,126566.42925966869,0.10422977073848723
formal,q4_2,count40_span40,2025-11,1391046.9282022305,89109.1984205687,0.06405908860007489
formal,q4_2,count40_span40,2025-12,2046953.6183710098,134590.87961004366,0.06575179740376956
formal,q4_2,raw_history,2025-02,1607966.9799488154,9987.904925108323,0.0062115112123920955
formal,q4_2,raw_history,2025-03,1411605.21048355,45715.22168836663,0.03238527411832571
formal,q4_2,raw_history,2025-04,1125685.730562167,37440.96501413332,0.03326058419114482
formal,q4_2,raw_history,2025-05,1189306.601970478,103952.85346437494,0.08740626957938585
formal,q4_2,raw_history,2025-06,1781337.2911404055,335386.603716902,0.18827798945487118
formal,q4_2,raw_history,2025-07,2017621.0877917605,220134.1599149333,0.10910579853022107
formal,q4_2,raw_history,2025-08,1728296.1199824235,78920.31423789993,0.045663652961682594
formal,q4_2,raw_history,2025-09,1387247.2842903985,83923.54640848331,0.06049645752336916
formal,q4_2,raw_history,2025-10,1398605.6037392633,141484.99456490827,0.10116146695440009
formal,q4_2,raw_history,2025-11,1646455.6544343038,196606.96441598324,0.11941224404463799
formal,q4_2,raw_history,2025-12,2271780.885526655,263874.6440459582,0.11615321078149908
formal,q4_2,reference,2025-02,1340640.5099253817,27160.09346201942,0.020259042794053057
formal,q4_2,reference,2025-03,1225926.5645451338,117923.2378665521,0.09619111068884144
formal,q4_2,reference,2025-04,998118.9882838186,87909.44227552286,0.08807511259421658
formal,q4_2,reference,2025-05,1067105.4390585208,123414.27278368954,0.11565330684901645
formal,q4_2,reference,2025-06,1660410.0895773065,241622.74750371417,0.1455199224700113
formal,q4_2,reference,2025-07,1871138.9278183132,133158.05799087702,0.07116417493709831
formal,q4_2,reference,2025-08,1550511.2253349414,96365.13783506927,0.06215055799692935
formal,q4_2,reference,2025-09,1263687.1945069195,109332.24429171244,0.08651843966368038
formal,q4_2,reference,2025-10,1217333.2441159543,114752.8023647541,0.0942657262663432
formal,q4_2,reference,2025-11,1383058.1303258361,56940.25259360619,0.041169818784255706
formal,q4_2,reference,2025-12,2045204.518794187,116430.55110095492,0.05692856143775788
formal,q4_2,shuffle_20260913,2025-02,1339850.5604949088,31205.23004720552,0.023290082466867836
formal,q4_2,shuffle_20260913,2025-03,1228769.1696399383,125509.11092584368,0.10214213867574587
formal,q4_2,shuffle_20260913,2025-04,999163.9233867208,93941.09011527707,0.09401969778578334
formal,q4_2,shuffle_20260913,2025-05,1074398.8919499114,139415.27739427498,0.12976118873433698
