phase,mode,variant,days,intervals,total_cost_yuan,emergency_kwh,emergency_cost_yuan,emergency_cost_share,unused_surplus_kwh,throughput_kwh,net_adjustment_yuan,sequential_cost_yuan,initial_soc,terminal_soc,solves,solver_seconds,median_seconds,p95_seconds,max_seconds,simulation_seconds,audit_seconds,failures,max_lp_residual,min_actual_scenarios,max_actual_scenarios,max_physical_residual,passed,export_seconds
validation,q2,count10_span20,24,3456,1488283.4816432057,1504.8643958333291,5354.934084188881,0.003598060551123316,414083.36017500004,1082918.6087664175,0.0,1488283.4816432057,6000.0,6000.0,24,1.0227119569935894,0.04290931249943242,0.04668007235022742,0.04695749999882537,1.567905833999248,0.27396199999930104,0,0.0,6,10,1.0231815394945443e-12,True,1.2748872079991997
validation,q2,count40_span40,24,3456,1451179.1145173274,1539.0090791666626,5016.480437152766,0.003456830646864211,370604.54309444455,1078371.2948462325,0.0,1451179.1145173274,6000.0,6000.0,24,1.5220918749946577,0.06497435399978713,0.08636780889855798,0.08849083299901395,2.100360874999751,0.1765142919994105,0,0.0,6,29,1.0231815394945443e-12,True,0.7927651249992778
validation,q2,raw_history,24,3456,1525968.253583913,6618.367116666659,23090.147139708315,0.015131472811101039,455500.7997166668,1103250.420896502,0.0,1525968.253583913,6000.0,6000.0,24,1.6958774130016536,0.0787136044991712,0.08546630800001367,0.087258458001088,2.311526707999292,0.27971849999994447,0,0.0,7,20,9.094947017729282e-13,True,1.0542114170002606
validation,q2,reference,24,3456,1449696.009281915,1812.4770499999927,6154.4089549909495,0.004245309992982214,367524.93313055567,1077541.242110876,0.0,1449696.009281915,6000.0,6000.0,24,1.6058224529933796,0.0721633954990466,0.09045580179963508,0.09451791599894932,2.246777915999701,0.29355279199990036,0,0.0,6,20,1.0231815394945443e-12,True,1.3487585420007235
validation,q2,shuffle_20260913,24,3456,1447107.3205089327,1657.9934444444373,5630.417352796504,0.0038908084238122326,363545.80698194454,1073675.6801965125,0.0,1447107.3205089327,6000.0,6000.0,24,1.0621220410048409,0.047163521000584296,0.06241180620054364,0.06364374999975553,1.4679070839993074,0.17685145799987367,0,0.0,6,20,1.0231815394945443e-12,True,0.8263365409984544
validation,q2,shuffle_20260914,24,3456,1444890.9009207739,1716.797247222216,5771.735945594422,0.003994582526553607,359581.67498611123,1074130.0290515516,0.0,1444890.9009207739,6000.0,6000.0,24,1.1967754999968747,0.04635989599955792,0.0822408099013046,0.09284145799938415,1.6529756669988274,0.28921504100071616,0,0.0,6,20,1.0231815394945443e-12,True,1.0160584580007708
validation,q2,shuffle_20260915,24,3456,1445910.849513702,1882.5811402777708,6122.702341270811,0.004234495054332041,361696.8106458334,1074951.7985178365,0.0,1445910.849513702,6000.0,6000.0,24,1.6340405399987503,0.0755745835003836,0.08874329014925024,0.09731758300040383,2.294725499999913,0.28076374999909604,0,0.0,6,20,1.0231815394945443e-12,True,1.4995111669995822
validation,q2,shuffle_20260916,24,3456,1445402.8973395992,1666.4623611111024,5572.807477302056,0.003855539163204485,360196.6939625001,1074246.384040312,0.0,1445402.8973395992,6000.0,6000.0,24,1.7347760809952888,0.07524170849956135,0.09854630175041165,0.1014362500009156,2.4607486660006543,0.3580616250001185,0,0.0,6,20,1.0231815394945443e-12,True,1.8592082499999378
validation,q2,shuffle_20260917,24,3456,1447732.2477710787,1566.9882652777703,5381.843537859699,0.0037174301713217743,364414.17436527787,1074870.218405434,0.0,1447732.2477710787,6000.0,6000.0,24,1.849380915002257,0.06343970849957259,0.12739297319994872,0.34572674999981245,2.4819920840000123,0.34465795799951593,0,0.0,6,20,1.0231815394945443e-12,True,0.6509611670007871
validation,q2,terminal_0,24,3456,1451312.3265749048,1822.3934041666596,6176.537299313866,0.004255829145949918,367345.9914222222,1077541.242110876,0.0,1451312.3265749048,6000.0,6000.0,24,1.603212957004871,0.06940641700020933,0.08849660799996854,0.09090287500112026,2.2362206669986335,0.2893493329993362,0,0.0,6,20,1.0231815394945443e-12,True,1.2993700829993031
validation,q2,terminal_05,24,3456,1451416.9244523002,1812.477049999993,6154.4089549909495,0.004240276416311839,367478.7803097223,1077541.242110876,0.0,1451416.9244523002,6000.0,6000.0,24,1.5924443730018538,0.07119943750058155,0.08926363390019106,0.09047604100123863,2.2293266669985314,0.29984545899969817,0,0.0,6,20,1.0231815394945443e-12,True,1.3103758329998527
validation,q2,terminal_15,24,3456,1449696.009281915,1812.4770499999927,6154.4089549909495,0.004245309992982214,367524.93313055567,1077541.242110876,0.0,1449696.009281915,6000.0,6000.0,24,1.589114876007443,0.07069616650096577,0.09046015449885089,0.09634237499994924,2.2214855420006643,0.29134937500020897,0,0.0,6,20,1.0231815394945443e-12,True,1.2313392079995538
validation,q3,horizon_12,24,3456,1478568.4062636509,10493.75457759036,45797.38993222412,0.03097414346080499,345270.04926454363,1067190.1264327005,2254.4215189999713,1528794.4892070356,6000.0,6000.0,96,2.595006753988855,0.025234187500245753,0.05269235449941334,0.06466999999975087,3.3765942080008244,0.3504926669993438,0,2.3874235921539366e-12,6,20,1.0231815394945443e-12,True,1.1763916669988248
validation,q3,horizon_18,24,3456,1475947.1522057634,10589.02043862911,46379.03186358295,0.031423233409320066,342601.0687812444,1063405.4465142984,-948.4744702462876,1480734.0720243938,6000.0,6000.0,96,4.754312961000323,0.04561781249958585,0.07677415650050534,0.38247291700099595,5.934909833000347,0.5361437920000753,0,2.3874235921539366e-12,6,20,1.0231815394945443e-12,True,1.218356749999657
validation,q3,horizon_24,24,3456,1476066.2965977625,10590.908699740221,46386.144943188505,0.03142551594742429,342677.02909096656,1063414.203394854,-836.4431578527474,1481179.3625014948,6000.0,6000.0,96,2.762648501991862,0.02938160399935441,0.039710417249807506,0.05446062500050175,3.4513718750004045,0.291586917001041,0,2.3874235921539366e-12,6,20,1.0231815394945443e-12,True,0.628475375000562
validation,q4_2,count10_span10,24,3456,1614673.0416913328,4895.967620833322,20435.107770026363,0.012655879699719924,324500.92035972234,1089825.651556258,0.0,1614673.0416913328,6000.0,6000.0,24,1.1663474169999972,0.04399431250021735,0.04970352235086466,0.17391941599998972,1.8036463749995164,0.2963575830017362,0,0.0,6,10,1.0231815394945443e-12,True,1.2725631249995786
validation,q4_2,count10_span20,24,3456,1685751.2931890888,1574.6313097222173,6184.734479633324,0.0036688297405562714,422016.3508694102,1103776.6747311899,0.0,1685751.2931890888,6000.0,6000.0,24,1.0388573779946455,0.04428660450048483,0.04733983489923048,0.04837950000001001,1.5922558750007738,0.2815800409989606,0,0.0,6,10,9.663381206337363e-13,True,1.2952643329990678
validation,q4_2,count40_span40,24,3456,1663985.1998721827,777.7195458333298,2903.9508387340147,0.0017451782858147289,404073.86600972235,1103331.508545799,0.0,1663985.1998721827,6000.0,6000.0,24,1.106389290000152,0.04498039599911863,0.07232774640006026,0.08068841599924781,1.5153489589993114,0.1880692499998986,0,0.0,6,29,9.094947017729282e-13,True,0.8288481249983306
validation,q4_2,raw_history,24,3456,1672116.329850852,6473.715333333328,27536.197593999983,0.016467871943129778,458220.39615000004,1077491.1265382716,0.0,1672116.329850852,6000.0,6000.0,24,1.63430391399379,0.07171216650021961,0.08857680180071838,0.08970316699924297,2.233905749999394,0.3062680419989192,0,0.0,7,20,9.663381206337363e-13,True,1.1679609170005278
