mode,date,issue,parameter,ratio,parameter_value,base_objective,objective,objective_change_pct,grid_l1_kwh,soc_max_change_kwh,balance_residual,soc_residual
q3,2025-09-23,18,power_kw,1.2,6000.0,41488.97410091643,41317.568292425116,-0.41313580826169144,5167.221593055559,672.9296724999997,7.958078640513122e-13,9.094947017729282e-13
q3,2025-12-21,0,terminal_multiplier,0.8,0.8,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,terminal_multiplier,0.9,0.9,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,terminal_multiplier,1.0,1.0,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,terminal_multiplier,1.1,1.1,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,terminal_multiplier,1.2,1.2,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,power_kw,0.8,4000.0,67553.38604096853,77721.1146002666,15.051397354281765,0.0,1249.8841857561679,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-12-21,0,power_kw,0.9,4500.0,67553.38604096853,69935.21424867037,3.5258457751582593,0.0,914.6077060493808,1.1368683772161603e-13,8.979483823168266e-13
q3,2025-12-21,0,power_kw,1.0,5000.0,67553.38604096853,67553.38604096853,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,0,power_kw,1.1,5500.0,67553.38604096853,67514.52155953915,-0.0575315076076403,0.0,297.34890766975514,7.958078640513122e-13,7.958078640513122e-13
q3,2025-12-21,0,power_kw,1.2,6000.0,67553.38604096853,67514.52155953915,-0.0575315076076403,0.0,297.34890766975514,7.958078640513122e-13,7.958078640513122e-13
q3,2025-12-21,6,terminal_multiplier,0.8,0.8,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,terminal_multiplier,0.9,0.9,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,terminal_multiplier,1.0,1.0,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,terminal_multiplier,1.1,1.1,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,terminal_multiplier,1.2,1.2,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,power_kw,0.8,4000.0,63617.56650384438,66628.81075405296,4.733353404875398,8246.694224521436,1760.4962180864181,2.2737367544323206e-13,9.094947017729282e-13
q3,2025-12-21,6,power_kw,0.9,4500.0,63617.56650384438,64386.97685421085,1.2094306535915396,3411.345950411528,891.145041975311,1.1368683772161603e-13,8.588685318500211e-13
q3,2025-12-21,6,power_kw,1.0,5000.0,63617.56650384438,63617.56650384438,0.0,0.0,0.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,power_kw,1.1,5500.0,63617.56650384438,63451.74375515106,-0.26065559845533387,1859.5643395356672,493.59350668210027,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,6,power_kw,1.2,6000.0,63617.56650384438,63383.65989699637,-0.3676761305132176,3171.9036560994527,943.5935066821003,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,12,terminal_multiplier,0.8,0.8,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,terminal_multiplier,0.9,0.9,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,terminal_multiplier,1.0,1.0,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,terminal_multiplier,1.1,1.1,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,terminal_multiplier,1.2,1.2,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,power_kw,0.8,4000.0,69408.00780378836,71672.70497385008,3.262875915505105,10229.519947753774,1650.0,2.2737367544323206e-13,8.526512829121202e-13
q3,2025-12-21,12,power_kw,0.9,4500.0,69408.00780378836,70120.236251308,1.0261473712558589,5035.949901388891,825.0,2.2737367544323206e-13,8.526512829121202e-13
q3,2025-12-21,12,power_kw,1.0,5000.0,69408.00780378836,69408.00780378836,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,power_kw,1.1,5500.0,69408.00780378836,69310.3245420788,-0.14073774021249547,3043.6306702674947,648.1481481481469,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,12,power_kw,1.2,6000.0,69408.00780378836,69254.00526546512,-0.22188007291407086,5440.517439711942,970.029686728396,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,18,terminal_multiplier,0.8,0.8,67220.86330972779,66445.8073097278,-1.1529991759088811,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,18,terminal_multiplier,0.9,0.9,67220.86330972779,66833.33530972779,-0.5764995879544406,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,18,terminal_multiplier,1.0,1.0,67220.86330972779,67220.86330972779,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,18,terminal_multiplier,1.1,1.1,67220.86330972779,67350.86275416688,0.19339151275119817,4467.752997222223,4800.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,18,terminal_multiplier,1.2,1.2,67220.86330972779,67350.86275416688,0.19339151275119817,4467.752997222223,4800.0,5.684341886080801e-13,9.094947017729282e-13
q3,2025-12-21,18,power_kw,0.8,4000.0,67220.86330972779,69431.99424476085,3.2893521834806334,13247.955320833336,1863.2708225308652,2.2737367544323206e-13,7.567280135845067e-13
q3,2025-12-21,18,power_kw,0.9,4500.0,67220.86330972779,67737.32307326113,0.7683027829525098,5696.3299625,900.0,2.2737367544323206e-13,6.821210263296962e-13
q3,2025-12-21,18,power_kw,1.0,5000.0,67220.86330972779,67220.86330972779,0.0,0.0,0.0,5.684341886080801e-13,7.958078640513122e-13
q3,2025-12-21,18,power_kw,1.1,5500.0,67220.86330972779,66892.76123069541,-0.4880956043670651,4474.910070833331,899.9999999999982,5.684341886080801e-13,6.821210263296962e-13
